Type,Correct,Time
incon,True,0.9780209064483644
incon,False,0.3210639953613281
incon,False,0.305164098739624
incon,False,0.3144278526306152
incon,False,0.3158931732177734
incon,False,0.9307780265808104
incon,False,0.2825770378112793
incon,True,0.3115622997283935
incon,False,0.28609299659729
con,False,0.3736109733581543
incon,True,1.741023063659668
con,True,1.3309309482574463
incon,True,1.4276201725006104
incon,True,1.084786891937256
con,True,0.8904600143432617
incon,True,1.6171669960021973
incon,True,0.9870078563690186
incon,True,1.1457371711730957
incon,True,0.5788862705230713
incon,True,1.6777820587158203
incon,True,9.3460111618042
incon,False,0.9799129962921144
incon,True,7.783692836761475
incon,True,0.7132339477539062
incon,True,1.1171057224273682
con,True,2.233861923217773
incon,True,1.6229329109191897
incon,True,1.0637643337249756
incon,True,1.2557251453399658
incon,True,1.0191259384155271
incon,True,1.4176509380340576
incon,True,0.6045389175415039
incon,True,1.3634181022644043
con,True,1.4978139400482178
incon,False,0.7999711036682129
incon,True,1.6239900588989258
incon,True,1.1615617275238037
con,True,0.8445720672607422
incon,False,1.0003249645233154
incon,True,1.5981299877166748
incon,True,3.7513620853424072
incon,True,1.0765979290008545
incon,True,0.6117808818817139
incon,False,1.4716248512268066
con,True,1.340996265411377
incon,True,1.7497739791870115
incon,False,1.1991982460021973
con,True,0.6997177600860596
incon,True,1.5855708122253418
incon,True,1.7753031253814695
con,True,1.236536979675293
incon,True,0.8631131649017334
con,True,1.206373929977417
con,True,0.6476528644561768
incon,False,1.3491671085357666
con,True,1.4659287929534912
incon,True,1.7434368133544922
incon,True,1.807714939117432
incon,True,1.7743830680847168
incon,False,2.8589491844177246
con,True,2.414276123046875
incon,True,2.1771929264068604
con,False,2.5535807609558105
incon,False,4.241647005081177
con,True,1.4417610168457031
incon,True,2.102484941482544
incon,True,1.2265639305114746
incon,False,2.349627017974853
incon,True,2.58461332321167
incon,True,2.0361111164093018
con,True,1.2962639331817627
incon,True,1.415358066558838
incon,True,2.4052720069885254
incon,True,1.432762861251831
con,True,1.6664671897888184
incon,True,1.5278041362762451
con,True,0.9367969036102296
incon,False,1.9016969203948968
incon,True,1.9359209537506104
con,False,2.0779168605804443
incon,False,1.929353952407837
incon,True,1.681413173675537
incon,True,2.0546319484710693
incon,True,1.8707821369171145
incon,True,1.490941047668457
con,True,1.66382098197937
incon,True,1.8578579425811768
incon,False,1.9174330234527588
incon,True,1.8268017768859863
incon,True,0.9671931266784668
con,True,1.5224330425262451
incon,True,1.8562099933624268
incon,False,1.8186469078063965
incon,True,1.2487642765045166
incon,True,1.5709378719329834
con,True,1.8196392059326167
incon,True,1.2837157249450684
incon,False,2.100379943847656
con,False,2.969785213470459
incon,True,2.892994165420532
con,True,6.801061153411865
incon,True,2.7439188957214355
incon,True,1.5273919105529783
con,True,1.2887558937072754
con,True,1.9781339168548584
incon,True,1.1188549995422363
con,True,0.8579421043395996
incon,True,1.208934307098389
incon,True,0.9408860206604004
incon,True,0.90675687789917
incon,False,1.4113938808441162
incon,True,1.253705978393555
incon,False,2.2228918075561523
incon,False,1.5488581657409668
incon,False,1.290215015411377
incon,False,2.584872007369995
incon,False,0.8220758438110352
incon,False,0.6873867511749268
con,False,0.3528051376342773
incon,False,0.3560900688171386
incon,True,1.4069011211395264
incon,True,0.8933110237121582
incon,True,1.2884268760681152
incon,False,1.7777690887451172
incon,True,1.2891428470611572
incon,True,1.6034958362579346
con,True,1.129870891571045
